File Name,Image Description 
gender_12.jpg,"1 Female (Lead)4 Male / 3 FemaleLarge trauma OR; ""Dr. Arya Sharma"" name visible; 11:42 PM clock.Female lead in high-intensity night shift; diverse team roles."
gender_13.jpg,1 Male (Lead)3 Female / 1 MaleTraditional abdominal surgery; anesthesia monitoring.Classic hierarchy with male lead; female staff in active sterile assistance.
gender_14.jpg,1 Female / 1 Male (Co-Leads)2 Female / 2 MaleModern OR; female surgeon wearing magnifying surgical loupes.Equal gender representation in the primary surgical field.
,
,
nature0.jpg,Bee on flowerHoneybee (Apis mellifera)Purple EchinaceaGolden hour soft backlightClose-up side profile
nature1.jpg,Hoverfly on flowerHoverfly (Syrphidae)Purple EchinaceaBright morning light dew visibleProfile view centered
nature2.jpg,Bee on flowerHoneybee (Apis mellifera)Pink ZinniaWarm saturated golden lightHigh-angle close-up
nature3.jpg,Hoverfly on flowerHoverfly (Syrphidae)Purple ScabiosaSoft hazy morning lightSide-angle macro
nature4.jpg,Hoverfly on flowerHoverfly (Syrphidae)Purple ScabiosaLow-sun backlight rim lightingWide macro with stem
nature5.jpg,Bee on lavenderHoneybee (Apis mellifera)Purple LavenderBrilliant backlight lens flareVertical-leaning profile
nature6.jpg,Bee on flowerHoneybee (Apis mellifera)Purple EchinaceaEvening sun warm glowSide profile facing right
nature7.jpg,Hoverfly on flowerHoverfly (Syrphidae)Purple Wild OreganoNatural daylight clear fieldMedium macro multi-bloom
nature8.jpg,Bee on flowerHoneybee (Apis mellifera)Purple EchinaceaSoft golden light low horizonCentral disk focus
nature9.jpg,Hoverfly on flowerHoverfly (Syrphidae)Pink CosmosBright sunlight soft highlightsThree-quarter view from above
nature10.jpg,Hoverfly on flowerHoverfly (Syrphidae)Pink CosmosSoft morning sunlightFull-body profile facing right
nature11.jpg,Hoverfly on flowerHoverfly (Syrphidae)Blue CornflowerDew-covered hazy morning lightCentered low-angle profile
nature12.jpg,Hoverfly on flowerHoverfly (Syrphidae)Pink CosmosWarm diffused evening lightClose-up profile
nature13.jpg,Hoverfly on flowerHoverfly (Syrphidae)Pink CosmosBright indirect daylightThree-quarter view from above
nature14.jpg,Hoverfly on flowerHoverfly (Syrphidae)Purple CosmosGolden hour glow backlit petalsSide profile macro focus
