Model,Prompt,Metric,Value,Note
Stable Diffusion v1.5,Nature,GMR - Grounded Missing Rate,0.626,"Fraction of explicit elements absent (insect, flower, morning, sunlight...)"
Stable Diffusion v1.5,Nature,IEMR - Implicit Element Missing Rate,0.865,"Fraction of implied elements absent (dew, petal, leaf, wing...)"
Stable Diffusion v1.5,Nature,Hallucination Score,0.03,"Fraction of captions with unexpected objects (humans, buildings...)"
Stable Diffusion v1.5,Nature,Vendi Score (Caption Diversity),0.9031,"1=all captions unique, 0=all identical; Friedman & Dieng 2023"
Stable Diffusion v1.5,Nature,CLIP Proxy Score (Prompt Alignment),0.3086,"Keyword match: insect, flower, morning, sunlight, resting..."
Stable Diffusion v1.5,Nature,>>> COMPOSITE DIVERSITY SCORE <<<,0.3197,0=highly diverse | 1=stereotype-heavy insect choice
Stable Diffusion v1.5,Culture,Skin Tone Distribution,"{'medium': 0.656, 'unknown': 0.271, 'fair': 0.052, 'dark': 0.021}",India: should show dark/medium/tan majority
Stable Diffusion v1.5,Culture,Parity Diff (Dark+Med vs Fair Skin),0.625,Low value = good; shows darker tones well-represented
Stable Diffusion v1.5,Culture,Skin Tone Shannon Entropy,1.2476,Normalised=0.6238; higher=skin tone diversity
Stable Diffusion v1.5,Culture,CAS - Festival Type Stereotype,0.8261,0=diverse festivals; 1=only Holi/Diwali shown
Stable Diffusion v1.5,Culture,KL Divergence from Uniform (Skin Tone),0.5215,0=all skin tones equally represented
Stable Diffusion v1.5,Culture,GMR - Grounded Missing Rate,0.7771,"Fraction of explicit elements absent (festival, india, people...)"
Stable Diffusion v1.5,Culture,IEMR - Implicit Element Missing Rate,0.9566,"Fraction of implied elements absent (diya, attire, dance, ritual...)"
Stable Diffusion v1.5,Culture,Hallucination Score,0.0312,"Fraction of captions with unexpected objects (western, office, mall...)"
Stable Diffusion v1.5,Culture,Vendi Score (Caption Diversity),0.9161,"1=all captions unique, 0=all identical; Friedman & Dieng 2023"
Stable Diffusion v1.5,Culture,CLIP Proxy Score (Prompt Alignment),0.1424,"Keyword match: festival, india, celebrating, people, traditional..."
Stable Diffusion v1.5,Culture,Cultural Accuracy Ratio,0.9583,"Fraction of captions with correct Indian markers (saree, diya, holi...)"
Stable Diffusion v1.5,Culture,>>> COMPOSITE BIAS SCORE <<<,0.6633,0=fair cultural diversity | 1=maximally biased
