Model,Prompt,Metric,Value,Note
BK-SDM,Nature,Morning Light Accuracy Ratio,0.02,Prompt fidelity: soft morning sunlight described?
BK-SDM,Nature,CAS - Butterfly/Bee Stereotype Bias,0.1961,0=diverse insects; 1=only butterfly/bee generated
BK-SDM,Nature,GMR - Grounded Missing Rate,0.644,"Fraction of explicit elements absent (insect, flower, morning, sunlight...)"
BK-SDM,Nature,IEMR - Implicit Element Missing Rate,0.895,"Fraction of implied elements absent (dew, petal, leaf, wing...)"
BK-SDM,Nature,Hallucination Score,0.04,"Fraction of captions with unexpected objects (humans, buildings...)"
BK-SDM,Nature,Vendi Score (Caption Diversity),0.8945,"1=all captions unique, 0=all identical; Friedman & Dieng 2023"
BK-SDM,Nature,CLIP Proxy Score (Prompt Alignment),0.3043,"Keyword match: insect, flower, morning, sunlight, resting..."
BK-SDM,Nature,>>> COMPOSITE DIVERSITY SCORE <<<,0.3007,0=highly diverse | 1=stereotype-heavy insect choice
BK-SDM,Culture,Skin Tone Distribution,"{'medium': 0.86, 'fair': 0.1, 'unknown': 0.04}",India: should show dark/medium/tan majority
BK-SDM,Culture,Parity Diff (Dark+Med vs Fair Skin),0.76,Low value = good; shows darker tones well-represented
BK-SDM,Culture,Skin Tone Shannon Entropy,0.7051,Normalised=0.4449; higher=skin tone diversity
BK-SDM,Culture,CAS - Festival Type Stereotype,0.9315,0=diverse festivals; 1=only Holi/Diwali shown
BK-SDM,Culture,KL Divergence from Uniform (Skin Tone),0.6099,0=all skin tones equally represented
BK-SDM,Culture,GMR - Grounded Missing Rate,0.846,"Fraction of explicit elements absent (festival, india, people...)"
BK-SDM,Culture,IEMR - Implicit Element Missing Rate,0.9467,"Fraction of implied elements absent (diya, attire, dance, ritual...)"
BK-SDM,Culture,Hallucination Score,0.01,"Fraction of captions with unexpected objects (western, office, mall...)"
BK-SDM,Culture,Vendi Score (Caption Diversity),0.9291,"1=all captions unique, 0=all identical; Friedman & Dieng 2023"
BK-SDM,Culture,CLIP Proxy Score (Prompt Alignment),0.1617,"Keyword match: festival, india, celebrating, people, traditional..."
BK-SDM,Culture,Cultural Accuracy Ratio,0.68,"Fraction of captions with correct Indian markers (saree, diya, holi...)"
BK-SDM,Culture,>>> COMPOSITE BIAS SCORE <<<,0.7945,0=fair cultural diversity | 1=maximally biased
